k,quantile,threshold,seedCount
7,0.95,0.755655,185

index,timeSec,score,isLogo,isSeed
0,0,0.656656,1,0
1,30,0.660988,1,0
2,60,0.67106,1,0
3,90,0.681603,1,0
4,120,0.636441,1,0
5,150,0.665784,1,0
6,180,0.644882,1,0
7,210,0.643662,1,0
8,240,0.640588,1,0
9,270,0.667067,1,0
10,300,0.926808,0,0
11,330,0.599349,1,0
12,360,0.425399,1,1
13,390,0.520096,1,0
14,420,0.778046,0,0
15,450,0.458877,1,0
16,480,0.334032,1,1
17,510,0.421139,1,1
18,540,0.377015,1,0
19,570,0.401493,1,1
20,600,0.56002,1,1
21,630,0.470655,1,1
22,660,0.551884,1,1
23,690,0.49379,1,1
24,720,0.547935,1,1
25,750,0.480558,1,1
26,780,0.370403,1,1
27,810,0.354582,1,1
28,840,0.687928,1,0
29,870,0.528533,1,1
30,900,0.608708,1,1
31,930,0.558959,1,1
32,960,0.72417,1,0
33,990,0.589915,1,1
34,1020,0.411001,1,1
35,1050,0.500058,1,0
36,1080,0.467422,1,0
37,1110,0.520318,1,1
38,1140,0.536072,1,1
39,1170,0.549338,1,1
40,1200,0.65819,1,1
41,1230,0.636138,1,1
42,1260,0.514977,1,1
43,1290,0.514903,1,1
44,1320,0.533256,1,1
45,1350,0.406274,1,1
46,1380,0.521116,1,0
47,1410,0.530318,1,0
48,1440,0.748466,1,0
49,1470,0.526694,1,1
50,1500,0.468952,1,1
51,1530,0.607674,1,1
52,1560,0.427944,1,1
53,1590,0.58792,1,1
54,1620,0.508525,1,1
55,1650,0.792116,0,0
56,1680,0.489456,1,1
57,1710,0.370563,1,1
58,1740,0.431457,1,1
59,1770,0.6632,1,1
60,1800,0.568161,1,0
61,1830,0.780999,0,0
62,1860,0.71845,1,1
63,1890,0.441894,1,0
64,1920,0.293748,1,1
65,1950,0.403553,1,1
66,1980,0.277279,1,1
67,2010,0.498628,1,0
68,2040,0.473498,1,0
69,2070,0.460254,1,0
70,2100,0.345706,1,1
71,2130,0.577767,1,1
72,2160,0.40652,1,1
73,2190,0.505467,1,1
74,2220,0.471217,1,1
75,2250,0.497708,1,1
76,2280,0.61129,1,1
77,2310,0.562728,1,0
78,2340,0.441859,1,1
79,2370,0.430134,1,1
80,2400,0.66094,1,1
81,2430,0.443583,1,1
82,2460,0.513217,1,1
83,2490,0.528325,1,1
84,2520,0.383729,1,1
85,2550,0.597057,1,0
86,2580,0.379061,1,1
87,2610,0.431804,1,1
88,2640,0.443898,1,1
89,2670,0.472218,1,1
90,2700,0.54265,1,1
91,2730,0.612864,1,1
92,2760,0.567493,1,1
93,2790,0.593147,1,1
94,2820,0.420366,1,1
95,2850,0.645971,1,1
96,2880,0.568004,1,0
97,2910,0.40193,1,1
98,2940,0.719674,1,0
99,2970,0.683289,1,0
100,3000,0.606755,1,0
101,3030,0.610095,1,1
102,3060,0.365694,1,1
103,3090,0.512898,1,1
104,3120,0.661879,1,0
105,3150,0.4493,1,0
106,3180,0.434683,1,1
107,3210,0.438728,1,0
108,3240,0.587041,1,1
109,3270,0.515297,1,1
110,3300,0.451473,1,0
111,3330,0.566834,1,1
112,3360,0.405584,1,0
113,3390,0.650138,1,0
114,3420,0.370261,1,1
115,3450,0.593356,1,1
116,3480,0.939644,0,0
117,3510,0.295365,1,1
118,3540,0.361911,1,1
119,3570,0.513721,1,1
120,3600,0.434475,1,1
121,3630,0.412513,1,1
122,3660,0.5943,1,1
123,3690,0.331125,1,1
124,3720,0.477936,1,1
125,3750,0.533806,1,1
126,3780,0.702545,1,1
127,3810,0.435228,1,1
128,3840,0.489235,1,0
129,3870,0.48483,1,1
130,3900,0.379201,1,1
131,3930,0.553751,1,0
132,3960,0.614382,1,0
133,3990,0.518733,1,1
134,4020,0.414222,1,1
135,4050,0.576607,1,0
136,4080,0.530048,1,1
137,4110,0.361699,1,1
138,4140,0.375011,1,1
139,4170,0.319919,1,1
140,4200,0.350475,1,1
141,4230,0.81343,0,0
142,4260,0.985214,0,0
143,4290,0.713226,1,0
144,4320,0.705649,1,0
145,4350,0.635384,1,0
146,4380,0.712171,1,0
147,4410,0.74021,1,0
148,4440,0.657193,1,0
149,4470,0.605051,1,1
150,4500,0.740269,1,0
151,4530,0.405418,1,1
152,4560,0.43052,1,1
153,4590,0.450294,1,1
154,4620,0.545377,1,1
155,4650,0.514578,1,1
156,4680,0.320006,1,1
157,4710,0.362678,1,1
158,4740,0.324895,1,1
159,4770,0.644647,1,1
160,4800,0.426765,1,1
161,4830,0.383307,1,1
162,4860,0.404907,1,1
163,4890,0.861892,0,0
164,4920,0.849994,0,0
165,4950,0.595854,1,1
166,4980,0.564883,1,1
167,5010,0.510055,1,1
168,5040,0.515361,1,1
169,5070,0.515395,1,1
170,5100,0.45348,1,1
171,5130,0.497482,1,1
172,5160,0.325304,1,1
173,5190,0.580858,1,0
174,5220,0.504072,1,1
175,5250,0.530794,1,0
176,5280,0.646425,1,0
177,5310,0.550752,1,1
178,5340,0.427416,1,1
179,5370,0.522663,1,1
180,5400,0.464232,1,1
181,5430,0.757514,0,0
182,5460,0.60441,1,1
183,5490,0.481306,1,1
184,5520,0.509257,1,1
185,5550,0.508503,1,1
186,5580,0.456028,1,1
187,5610,0.347307,1,1
188,5640,0.416808,1,1
189,5670,0.426813,1,1
190,5700,0.562439,1,1
191,5730,0.430891,1,1
192,5760,0.700224,1,1
193,5790,0.404002,1,1
194,5820,0.382128,1,1
195,5850,0.412904,1,1
196,5880,0.531228,1,0
197,5910,0.391121,1,1
198,5940,0.408384,1,1
199,5970,0.331601,1,1
200,6000,0.684078,1,0
201,6030,0.740838,1,1
202,6060,0.897241,0,0
203,6090,0.765423,0,0
204,6120,0.665069,1,0
205,6150,0.799163,0,0
206,6180,0.500135,1,1
207,6210,0.53902,1,1
208,6240,0.484866,1,1
209,6270,0.596735,1,1
210,6300,0.56153,1,1
211,6330,0.544528,1,1
212,6360,0.55591,1,1
213,6390,0.583736,1,1
214,6420,0.534793,1,1
215,6450,0.524768,1,1
216,6480,0.550572,1,1
217,6510,0.458802,1,1
218,6540,0.471635,1,1
219,6570,0.507961,1,1
220,6600,0.537239,1,1
221,6630,0.514306,1,1
222,6660,0.488454,1,1
223,6690,0.566747,1,1
224,6720,0.53684,1,1
225,6750,0.464084,1,1
226,6780,0.511863,1,1
227,6810,0.864856,0,0
228,6840,0.519431,1,1
229,6870,0.607752,1,1
230,6900,0.500251,1,1
231,6930,0.571022,1,1
232,6960,0.510168,1,1
233,6990,0.496974,1,1
234,7020,0.500061,1,1
235,7050,0.525308,1,1
236,7080,0.505759,1,1
237,7110,0.548933,1,1
238,7140,0.579387,1,1
239,7170,0.601374,1,1
240,7200,0.508407,1,1
241,7230,0.523145,1,1
242,7260,0.507843,1,1
243,7290,0.589157,1,1
244,7320,0.561994,1,1
245,7350,0.56738,1,1
246,7380,0.586248,1,1
247,7410,0.505776,1,1
248,7440,0.511037,1,1
249,7470,0.497943,1,1
250,7500,0.517245,1,1
251,7530,0.514167,1,1
252,7560,0.529923,1,1
253,7590,0.633548,1,1
